timestamp/commit	file	object/name	gene_count	overlap_with_final_AF35	relationship	evidence_class	notes
2026-08-28 14:07:58.943 local creation	HCC_ICI_CODEX_PHASE2_FULL_EXECUTION_PROMPT.md	Phase 2B functional program / Phase 2C prior-phase state	NA	NA	Contemporaneous design mandate preceding AF35	CONTEMPORANEOUS_DESIGN_EVIDENCE	Specifies pathway families and a multigene state objective; no membership list or rule
2026-08-28 15:02:44.097 local creation	HCC_ICI_project/04_scripts/phase2/06_extract_phase2_functional_inputs.R	required_genes	37	22/35	Overlap-only functional-input extraction list	INFERENCE_ONLY_NOT_USABLE	Includes PTPN22 plus 14 other non-AF35 genes and misses 13 AF35 genes; no explicit AF35 link
2026-08-28 15:08:40.159 local creation	HCC_ICI_project/04_scripts/phase2/07_functional_program_GSE206325.R	program_sets (12 sets; 87-gene union)	87	35/35	Contemporaneous multi-module biological superset	DIRECT_EXECUTABLE_EVIDENCE	Eight architecture-matched sets yield a 60-gene union containing all 35 plus 25; neither union is documented as candidate universe
2026-08-28 15:11:38.964 local creation	HCC_ICI_project/05_results/tables/phase2/PTPN22_PATIENT_AWARE_PROGRAM_ASSOCIATIONS.tsv	Phase 2B program association rows	87-set universe represented	35/35 across module rows	Execution output supporting upstream program architecture	DIRECT_EXECUTABLE_EVIDENCE	Not an exact AF35 vector and contains no selection ledger
2026-08-28 15:11:38.980 local creation	HCC_ICI_project/05_results/tables/phase2/PTPN22_FUNCTIONAL_PATHWAY_ENRICHMENT.tsv	FGSEA pathway/leading-edge output	large result table	29/35 symbols occur	Upstream enrichment evidence only	DIRECT_EXECUTABLE_EVIDENCE	No exact vector or documented mapping from leading edges to AF35
2026-08-28 15:35:47.075 local creation	HCC_ICI_project/05_results/phase2/PTPN22_FUNCTIONAL_PROGRAM_REPORT.md	PTPN22-associated functional architecture	NA	NA	Contemporaneous narrative immediately before exact vector	CONTEMPORANEOUS_DESIGN_EVIDENCE	Describes TCR/NF-kB/interferon/effector/checkpoint-related coupling; no 35-member list
2026-08-28 15:38:48.203 local creation	HCC_ICI_project/04_scripts/phase2/09_spatial_niche_GSE238264.R	signatures$PTPN22_associated_activation_feedback	35	35/35 exact ordered	EARLIEST RECOVERABLE EXACT VECTOR	DIRECT_EXECUTABLE_EVIDENCE	Literal c(...) assignment at lines 26-31; no algorithmic membership generation; PTPN22 absent
2026-08-28 15:39:30.577 local creation	HCC_ICI_project/05_results/tables/phase2/PTPN22_SPATIAL_PATIENT_METRICS.tsv	PTPN22_associated_activation_feedback	35 referenced	35/35 by source object	First execution output carrying object name	DIRECT_EXECUTABLE_EVIDENCE	Carries score/name but not an independent 35-gene membership vector
2026-08-28 15:39:30.593 local creation	HCC_ICI_project/09_logs/phase2/09_spatial_niche_GSE238264.log	PTPN22_associated_activation_feedback	35 referenced	35/35 by executed source	First run log after exact literal source	HISTORICAL_SUPPORTING_EVIDENCE	Execution chronology corroborates local filesystem order
2026-08-28 15:41:34.935 local creation	HCC_ICI_project/05_results/phase2/PTPN22_SPATIAL_NICHE_REPORT.md	fixed 35-gene PTPN22_associated_activation_feedback	35	35/35	Contemporaneous architecture link and PTPN22 operational exclusion statement	CONTEMPORANEOUS_DESIGN_EVIDENCE	States derivation from Phase 2B TCR/NF-kB/interferon/effector/checkpoint program; no gene-level rule
2026-08-28 15:41:34.937 local creation	HCC_ICI_project/05_results/phase2/PHASE2C_GATE_DECISION.md	fixed 35-gene Phase 2B signature	35	35/35	Contemporaneous gate description	CONTEMPORANEOUS_DESIGN_EVIDENCE	Modified later at 16:33; content still lacks selection rule
2026-08-28 15:49:23.588 local creation	HCC_ICI_project/04_scripts/phase2/10_bulk_context_TCGA_LIHC.R	activation_feedback_genes	35	35/35 exact ordered	First exact literal successor copy	DIRECT_EXECUTABLE_EVIDENCE	Same order; SHA-256 720277b1edf54b41eec419a6af838c77d48bedb8a56c602429a3598f7ae5ceb6
2026-08-28 16:35:09.927 local modification	HCC_ICI_project/01_metadata/PHASE2_V3_FREEZE_MANIFEST_SHA256.tsv	Phase 2 v3 source hash freeze	35 via frozen source	35/35	EARLIEST RECOVERABLE FORMAL HASH FREEZE	DIRECT_EXECUTABLE_EVIDENCE	Rows 53 and 55 freeze 07 and 09 exact SHA-256 values
2026-08-28 16:36:38.433 local creation	HCC_ICI_checkpoint_2026-08-28_v3_PTPN22_FULL_VALIDATION_FREEZE.md	fixed 35-gene PTPN22-associated activation-feedback signature	35	35/35	Earlier-than-v5 named checkpoint freeze	DIRECT_EXECUTABLE_EVIDENCE	References curated 156-file Phase 2 manifest and explicitly identifies fixed 35-gene signature
2026-08-28 19:26:55.512 local creation	HCC_ICI_project/04_scripts/mechanism/01_gse265961_mechanism_reanalysis.R	PTPN22_activation_feedback_35	35	35/35 exact ordered	Later exact alias before mechanism effect calculation	HISTORICAL_SUPPORTING_EVIDENCE	Copied verbatim from frozen Phase 2 source
2026-08-28 19:27:13.913 local creation	HCC_ICI_project/01_metadata/PTPN22_MECHANISM_PROGRAMS_FROZEN.tsv	PTPN22_activation_feedback_35	35 rows	35/35	Row-wise membership/source-hash freeze	HISTORICAL_SUPPORTING_EVIDENCE	Freeze status FROZEN_BEFORE_GSE265961_EFFECT_CALCULATION
2026-08-30 11:37:29.225 earliest local modification among recovered AF35-label files	HCC_ICI_PHASE15A_HORIZON_ACCESS_AUDIT_CONTROL_PACKAGE/HCC_ICI_checkpoint_2026-08-30_v14R1_PHASE15A_HORIZON_ACCESS_AUDIT_AUTHORIZATION.md	AF35	35	35/35	Earliest recoverable use of short label AF35	LATER_RETROSPECTIVE_DESCRIPTION	Short alias appears long after the exact vector and v3/v5 freezes; package creation timestamps are copy metadata
2026-08-31 02:06:06.650 local creation	HCC_ICI_project/03_processed_data/phase19b_published_benchmark/PHASE19B_RESPONSE_BLIND_OBJECT.rds	root$af35_genes	35	35/35 exact ordered	Later serialized frozen copy	HISTORICAL_SUPPORTING_EVIDENCE	Only exact AF35 character vector found among 62 RDS files; too late to establish construction
