file	sha256	original_artifact	original_sha256	rows	retained_columns	removed_columns	identifier_action	local_path_cells_sanitized	numerical_values_unchanged	redistribution_basis
derived_data/publication_source_tables/S01_01.tsv	005ce783d512ff9ba8fa772822adb0afb27110a47ec10e19ab0e14342f3ad818	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S01_01.tsv	ab0c9641f0a451f4fe72990db5f83f825b5ed42fc840ccea5a996883023a0aa3	17	dataset | analysis | treatment | specimen | sampling_time | molecular_sample_N | clinical_evaluable_patient_N | R_NR | endpoint | manuscript_role | figure_use | overlap | primary_source | source_evidence | limitations | reference_number		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S01_02.tsv	862be7efd32e6eb8b5558ac14bbe3aaf6749eb13770b9db894e3bbf27047cb40	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S01_02.tsv	95a645d0cbe3d2053091129e518130c9866bf07f3e25a61e286e3b6620fa6ba2	7	cohort | accession | N | R/NR | treatment | setting | line of therapy if known | sample timing | tissue | assay/platform | endpoint | response definition | role | primary meta yes/no | sensitivity meta yes/no | major limitation		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S02_01.tsv	23f270764398e386333e48fa1c13d00a5847b2758a8eb67a5d23a21fa2b8f482	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S02_01.tsv	23f270764398e386333e48fa1c13d00a5847b2758a8eb67a5d23a21fa2b8f482	3	rank | candidate | weighted_points | biology_points_excluding_druggability | gate3_ici_grade | gate3_sctcr_grade | decision		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S02_02.tsv	d49d75abcfe4f767ee9bfa41662ab4c5c215ea44361bef383fccfcfdc29e9665	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S02_02.tsv	d49d75abcfe4f767ee9bfa41662ab4c5c215ea44361bef383fccfcfdc29e9665	18	candidate | dimension | grade | evidence | weight | weighted_points		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S03_01.tsv	6e6dc55d06b1c515f788ce4321613f78e4936169107535526d7e4d8443504417	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S03_01.tsv	38ba707760755e5c3c221f37bcab48b70285846f6c728de4aeaf6437bb20505a	35	gene_rank | gene | first_documented_source | chronology | unchanged_membership_evidence | PTPN22_excluded | original_gene_reduction_rule		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S03_02.tsv	4ed3e59d53efc682bb611d3da3dbffca5d65a558428e5eea3898b4ab1b2ac174	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S03_02.tsv	f1a00457df87a8cf55c50826a952e00d08b3bfb8cedaf59e17d45745191726cd	18	timestamp/commit | file | object/name | gene_count | overlap_with_final_AF35 | relationship | evidence_class | notes		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S03_03.tsv	ac4ef259371becca87d6edf36f572102a97750b900c9a39d211e0c0b908109a6	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S03_03.tsv	fb459648c21a0d3664bd344b40d8b6e7589c83fd503b15c272f98ae7f3c8fb6a	19	timestamp | file | location_or_context | object_or_name | gene_count | overlap_with_final_AF35 | exact_final_order | historical_role | evidence_class | source_sha256 | notes		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S03_04.tsv	9e98004533cc0e15b33ee3dae27bb8012a9ec6e497c0117f1a027ff10fc31bc1	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S03_04.tsv	9e98004533cc0e15b33ee3dae27bb8012a9ec6e497c0117f1a027ff10fc31bc1	5	Platform_context | Input_unit | Gene_transformation | Gene_wise_standardization | Reference_population | Aggregation | Final_score_residual_transformation | Missing_gene_rule | Figure_Table		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S04_01.tsv	a13bfceda3810336264e00d65c9de6293da5278dc2da66b4acd0209fcf3e5f1c	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S04_01.tsv	a13bfceda3810336264e00d65c9de6293da5278dc2da66b4acd0209fcf3e5f1c	6	state_id | n_cells		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S04_02.tsv	88948509703a0411c09cea6fb649c647c4f984058ac2080c36118b1b9f499c0c	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S04_02.tsv	88948509703a0411c09cea6fb649c647c4f984058ac2080c36118b1b9f499c0c	72	state | program | n_patient_states | n_genes | genes_used | beta_per_1SD_PTPN22 | ci_lower | ci_upper | p_value | state_order | program_order | ci_excludes_zero | semantic_label | source_status		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
