analysis_id	main_figure_or_supplement	active_script	direct_input	direct_output	language	environment	status	notes
A001	Analytical module AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1	scripts/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	read(B / 'AF35_MATCHED_NULL_PROGRAM_MANIFEST.tsv') | read(G / 'AF35_BROAD_IMMUNE_RESPONSE_BLIND_PATIENT_VALUES.tsv') | (B / 'MATCHED_PROGRAM_FREEZE_LOCK.json').read_text()	save(rows, 'AF35_AGGREGATION_SOURCE_BINDING_AUDIT.tsv') | write(P + '_PROTOCOL_FREEZE_v1.md', protocol) | js('QA/PROTOCOL_PRECOMPUTATION_LOCK.json', dict(utc=now(), outcome_labels_loaded=False, sha256=sha(OUT / (P + '_PROTOCOL_FREEZE_v1.md')), seed=2026090809, classification_max_exceedance=10, K=200))	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Mapped in supplied current-entrypoint table; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A002	S8 aggregation decomposition	scripts/06_clinical/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	read(OUT / 'AF35_GENE_NUMBER_SUBSET_MANIFEST.tsv') | read(OUT / 'AF35_GENE_NUMBER_RESPONSE_BLIND_SCORES.tsv') | read(OUT / 'AF35_STRUCTURED_REFERENCE_RESPONSE_BLIND_SCORES.tsv')	write('QA/OUTCOME_JOIN_TIMESTAMP.txt', join) | js('QA/OUTCOME_OPEN_EVENT.json', dict(utc=join, freeze_utc=lock['utc'], freeze_lock_sha256=sha(OUT / (P + '_FREEZE_LOCK.json')), all_frozen_hashes_verified=True)) | save(binding, 'QA/CLINICAL_SOURCE_BINDINGS.tsv')	Python	environment/Python_environment.txt	ACTIVE_CURRENT	S8 aggregation decomposition; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A003	Local import dependency of AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	scripts/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	pd.read_csv(p, sep='\t', float_precision='round_trip', **kw) | f.read(2 ** 20)	pd.DataFrame(x).to_csv(OUT / n, sep='\t', index=False, na_rep='NA') | (OUT / n).write_text(s, encoding='utf-8') | write(n, json.dumps(x, ensure_ascii=False, indent=2))	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Local import dependency of AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A004	Local import dependency of AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	scripts/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	pd.read_csv(p, sep='\t', **kw) | read(A / 'AF35_ORDERED_GENES.tsv') | read(base / 'COMPLETE_SHA256_MANIFEST.tsv')	pd.DataFrame(x).to_csv(OUT / name, sep='\t', index=False, na_rep='NA') | (OUT / name).write_text(s, encoding='utf-8') | write(name, json.dumps(x, ensure_ascii=False, indent=2))	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Local import dependency of AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A005	Analytical module AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1	scripts/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	f.read(OUT / (P + '_RESPONSE_BLIND_PATIENT_VALUES.tsv')) | f.read(OUT / (P + '_LOO_RESPONSE_BLIND_PATIENT_VALUES.tsv')) | (OUT / (P + '_FREEZE_LOCK.json')).read_text(encoding='utf-8')	f.write(P + '_OUTCOME_JOIN_TIMESTAMP.txt', f.now() + '\n') | f.save(pd.concat(joined), 'inputs/PATIENT_ANALYSIS_VALUES_AFTER_FREEZE.tsv') | f.save(bindings, 'QA/CLINICAL_SOURCE_BINDINGS.tsv')	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Mapped in supplied current-entrypoint table; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A006	Locked response integration prerequisite	scripts/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	jl(OUT / (P + '_FREEZE_LOCK.json')) | read(OUT / 'inputs/PRETREATMENT_ELIGIBLE_CELLS_RESPONSE_BLIND.tsv') | read(OUT / (P + '_PATIENT_COMPONENTS_RESPONSE_BLIND.tsv'))	write(P + '_OUTCOME_JOIN_TIMESTAMP.txt', stamp) | js('QA/OUTCOME_OPEN_EVENT.json', dict(utc=stamp, freeze_utc=lock['utc'], freeze_lock_sha256=sha(OUT / (P + '_FREEZE_LOCK.json')), all_frozen_hashes_verified=True)) | save(labels, 'inputs/RESPONSE_LABEL_MAP_AFTER_FREEZE.tsv')	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Locked response integration prerequisite; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A007	S8 occupancy decomposition	scripts/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	read(OUT / (P + '_FEASIBILITY.tsv')) | read(OUT / 'inputs/PATIENT_COMPONENTS_AFTER_RESPONSE_JOIN.tsv') | read(OUT / 'AF35_PATIENT_STATE_PROPORTIONS.tsv')	save(pd.concat(boots) if boots else pd.DataFrame(columns=['compartment', 'draw', 'Delta_M', 'Delta_O', 'Delta_W', 'Delta_X', 'Delta_O_minus_W']), P + '_BOOTSTRAP.tsv') | js('QA/CLINICAL_COMPLETION_LOCK.json', dict(utc=now(), passing_compartments=feas[feas.status == 'PASS'].compartment.tolist(), scientific_patterns=decisions, hashes={p.name: sha(p) for p in OUT.glob(P + '_*.tsv')})) | save(pd.DataFrame(bix, columns=[f'slot_{j + 1}' for j in range(n)]), f'inputs/{compartment}_BOOTSTRAP_INDICES_ZERO_BASED.tsv')	Python	environment/Python_environment.txt	ACTIVE_CURRENT	S8 occupancy decomposition; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A008	Local import dependency of AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	scripts/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	pd.read_csv(p, sep='\t', float_precision='round_trip', **kw) | Path(p).read_text(encoding='utf-8')	pd.DataFrame(x).to_csv(OUT / n, sep='\t', index=False, na_rep='NA') | (OUT / n).write_text(s, encoding='utf-8') | write(n, json.dumps(x, ensure_ascii=False, indent=2))	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Local import dependency of AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A009	Analytical module AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1	scripts/06_clinical/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	jl(OUT / (P + '_FREEZE_LOCK.json')) | read(K / 'COMPLETE_SHA256_MANIFEST.tsv') | read(label_source, usecols=['patient', 'response_group', 'response'])	write(P + '_OUTCOME_JOIN_TIMESTAMP.txt', stamp) | js('QA/OUTCOME_OPEN_EVENT.json', dict(utc=stamp, freeze_utc=lock['utc'], freeze_lock_sha256=sha(OUT / (P + '_FREEZE_LOCK.json')), all_frozen_hashes_verified=True)) | save(labels, 'inputs/RESPONSE_LABEL_MAP_AFTER_FREEZE.tsv')	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Mapped in supplied current-entrypoint table; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A010	Local import dependency of AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	scripts/04_clonotype/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py	pd.read_csv(p, sep='\t', float_precision='round_trip', **kw) | Path(p).read_text(encoding='utf-8')	pd.DataFrame(x).to_csv(OUT / n, sep='\t', index=False, na_rep='NA') | (OUT / n).write_text(s, encoding='utf-8') | write(n, json.dumps(x, ensure_ascii=False, indent=2))	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Local import dependency of AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A011	Analytical module HCC_ICI_project	scripts/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	pd.read_csv(P / '01_metadata/clinical_translation/PTPN22_CLINICAL_AXES_FROZEN.tsv', sep='\t') | f.read(1048576) | pd.read_csv(P / '01_metadata/spatial_phase8/PTPN22_SPATIAL_PROGRAM_FROZEN_PROVENANCE.tsv', sep='\t')	pd.DataFrame(rows).to_csv(OUT / name, sep='\t', index=False) | tsv([dict(path=str(p.relative_to(ROOT)), bytes=p.stat().st_size, mtime_ns=p.stat().st_mtime_ns) for p in files], 'PROTECTED_EXISTING_FILE_INVENTORY.tsv') | tsv([dict(path=str(p.relative_to(ROOT)), bytes=p.stat().st_size, sha256=sha(p)) for p in sources], 'PROTECTED_INPUT_SHA256_BEFORE.tsv')	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Mapped in supplied current-entrypoint table; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A012	Analytical module AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1	scripts/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	pd.read_csv(OUT / 'AF35_SINGLE_GENE_SUBSET_MANIFEST.tsv', sep='\t') | pd.read_csv(OUT / 'AF35_RANDOM_DROPOUT_SUBSET_MANIFEST.tsv', sep='\t') | pd.read_csv(OUT / 'AF35_PTPN22_CONDITIONAL_ASSOCIATION_SENSITIVITY.tsv', sep='\t')	sg.to_csv(OUT / 'AF35_SINGLE_GENE_ASSOCIATION_ABLATION.tsv', sep='\t', index=False) | rd.to_csv(OUT / 'AF35_RANDOM_DROPOUT_ASSOCIATION_ROBUSTNESS.tsv', sep='\t', index=False) | f.tsv(fullrows, 'AF35_FULL_SCORE_EFFECT_REPRODUCTION.tsv')	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Mapped in supplied current-entrypoint table; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A013	Analytical module HCC_ICI_project	scripts/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	pd.read_csv(p, sep='\t', **kw) | Path(p).read_text(encoding='utf-8') | read(base / 'COMPLETE_SHA256_MANIFEST.tsv')	pd.DataFrame(x).to_csv(OUT / n, sep='\t', index=False, na_rep='NA') | (OUT / n).write_text(s, encoding='utf-8') | write(n, json.dumps(x, ensure_ascii=False, indent=2))	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Mapped in supplied current-entrypoint table; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A014	AF35 molecular architecture	scripts/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	f.jl(OUT / 'AF35_FUNCTIONAL_STATE_FREEZE_LOCK.json') | f.read(OUT / 'inputs/GENE_LAYER_MEMBERSHIP.tsv') | f.read(OUT / 'inputs/TCR_CELL_METADATA_RESPONSE_BLIND.tsv')	f.save([dict(check='58872_by_35_raw_UMI_two_access_patterns', status='PASS', max_absolute_difference=int(abs(second - counts).max())), dict(check='all_cell_total_UMI_recomputed', status='PASS', max_absolute_difference=float(abs(totals_check - totals).max()))], 'QA/H5AD_INDEPENDENT_EXTRACTION_VERIFICATION.tsv') | f.save([dict(check='frozen_cell_AF35_reproduction', n=58872, max_absolute_error=err, status='PASS')], 'QA/FROZEN_SINGLE_CELL_AF35_REPRODUCTION.tsv') | cells.to_csv(OUT / 'inputs/CELL_AF35_RAW_COUNTS_AND_FROZEN_SCORE.tsv.gz', sep='\t', index=False)	Python	environment/Python_environment.txt	ACTIVE_CURRENT	AF35 molecular architecture; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A015	Frozen perturbation summaries	scripts/07_perturbation/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py	f.jl(base / 'PHASE17A_ANALYSIS_RESULTS.json') | self.read(len(b)) | f.read(OUT / 'QA/PROTECTED_BEFORE.tsv')	f.save(checks if checks else [dict(status='NOT_RUN', detail=detail)], 'QA/PERTURBATION_FROZEN_AGGREGATE_VERIFICATION.tsv') | f.save(bound, 'QA/PERTURBATION_SOURCE_BINDINGS.tsv') | f.js('QA/PERTURBATION_RECOVERY_LOCK.json', dict(utc=f.now(), gate=status, details=detail, source_etag=src['etag'], cached_blocks_used=len(reader.used), remote_bytes_requested=0, new_DE_models=0))	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Frozen perturbation summaries; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A016	Analytical module AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1	scripts/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	read(A / 'MOLECULAR_CELLS.tsv') | read(A / 'K_FROZEN_ALPHA.tsv') | read(A / 'RELEASED_STATE_ORDER.tsv')	save(sample, F / (P + '_OUTCOME_FREE_SAMPLE_MANIFEST.tsv')) | save(x, F / 'PAIRED_MOLECULAR_CELLS.tsv') | save(ct, F / 'CLONE_STATE_DISTRIBUTIONS.tsv')	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Mapped in supplied current-entrypoint table; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A017	Analytical module AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1	scripts/06_clinical/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/06_phaseB_clinical.py	read(K / 'COMPLETE_SHA256_MANIFEST.tsv') | read(F / (P + '_PATIENT_LONGITUDINAL_CHANGES_RESPONSE_BLIND.tsv')) | read(L / 'COMPLETE_SHA256_MANIFEST.tsv')	js(Q / 'PHASEB_START_EVENT.json', dict(utc=now(), phaseA_lock_sha256=lockhash, phaseA_freeze_utc=lock['utc'], phaseA_hash_verification='PASS', first_clinical_read_follows_this_event=True)) | save(lab, B / 'RESPONSE.tsv') | save(joined, C / 'PATIENT_CHANGES_AFTER_JOIN.tsv')	Python	environment/Python_environment.txt	ACTIVE_CURRENT	Mapped in supplied current-entrypoint table; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
A018	Analytical module AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1	scripts/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/07_phaseB_verify.R	rd <- function(dir,name) fread(file.path(dir,name),header=TRUE) | lock <- fromJSON(file.path(root,'AF35_M2_PHASEA_FREEZE_LOCK.json')) | start <- fromJSON(file.path(root,'QA/PHASEB_START_EVENT.json'))	res <- rbindlist(checks);fwrite(res,file.path(root,'QA/INDEPENDENT_R_PHASEB_CHECKS.tsv'),sep='\t');writeLines(capture.output(sessionInfo()),file.path(root,'QA/R_PHASEB_SESSION_INFO.txt'))	R	environment/R_environment.txt	ACTIVE_CURRENT	Mapped in supplied current-entrypoint table; archive reconstruction in an isolated working directory required; dynamic paths and freeze prerequisites not executed or certified; Full expressions: provenance/DIRECT_IO_CONTRACT.tsv; output directories are script-created in the isolated workspace; static discovery is not complete dependency closure
