timestamp	file	location_or_context	object_or_name	gene_count	overlap_with_final_AF35	exact_final_order	historical_role	evidence_class	source_sha256	notes
2026-08-28 14:07:58.943	HCC_ICI_CODEX_PHASE2_FULL_EXECUTION_PROMPT.md	Phase 2B and Phase 2C instructions	PTPN22-associated functional program	NA	NA	NA	Design precursor	CONTEMPORANEOUS_DESIGN_EVIDENCE	90e455a2e60811cb7e75646e5b2fa4b022bbaef0e6f29498c62c88c4841f49b4	Defines multigene objective/pathway categories and discourages single-gene PTPN22 spatial endpoint
2026-08-28 15:02:44.097	HCC_ICI_project/04_scripts/phase2/06_extract_phase2_functional_inputs.R	Functional-input extraction	required_genes	37	22/35	FALSE	Overlap-only list with different purpose	INFERENCE_ONLY_NOT_USABLE	069fc3a95d7aa73cc2c7ef8116a482da6ca82b78d720c4e7accfd28d79faf604	No explicit link to final AF35; not a predecessor claim
2026-08-28 15:08:40.159	HCC_ICI_project/04_scripts/phase2/07_functional_program_GSE206325.R	Phase 2B executable module definitions	program_sets	87 unique union	35/35	FALSE	Explicitly linked biological source architecture	DIRECT_EXECUTABLE_EVIDENCE	04bf16a79374af34640e2b9581c8b2bfaa80868e1d5a10c4adcd546d45983ef9	Architecture-matched eight-set union is 60 genes with 35/35 overlap and 25 extras; not documented candidate universe
2026-08-28 15:11:38.964	HCC_ICI_project/05_results/tables/phase2/PTPN22_PATIENT_AWARE_PROGRAM_ASSOCIATIONS.tsv	Phase 2B result table	program rows	87-set universe represented	35/35 across rows	FALSE	Upstream execution output	DIRECT_EXECUTABLE_EVIDENCE	d4277edeecdaa835f9a4c4f1a9edad625d0a052465ba0fd3c706454057b21e68	No exact vector or keep/remove rule
2026-08-28 15:11:38.980	HCC_ICI_project/05_results/tables/phase2/PTPN22_FUNCTIONAL_PATHWAY_ENRICHMENT.tsv	FGSEA results	leadingEdge fields	large table	29/35 symbols occur	FALSE	Upstream enrichment context	DIRECT_EXECUTABLE_EVIDENCE	7a1a63585f402b594649a703117df9212ece90f0158c9e11df50a277bbb48323	No exact membership derivation
2026-08-28 15:35:47.075	HCC_ICI_project/05_results/phase2/PTPN22_FUNCTIONAL_PROGRAM_REPORT.md	Phase 2B report	activation-feedback architecture	NA	NA	NA	Immediate design narrative	CONTEMPORANEOUS_DESIGN_EVIDENCE	ac06b4018a2c4a99b52809cdb66d07192ba8abaadf1ae3019ec5f250e30eff8d	No final vector
2026-08-28 15:38:48.203	HCC_ICI_project/04_scripts/phase2/09_spatial_niche_GSE238264.R	Phase 2C source lines 26-31	signatures$PTPN22_associated_activation_feedback	35	35/35	TRUE	First exact vector	DIRECT_EXECUTABLE_EVIDENCE	d6a01aacb10597cfa39fd611495e3ea41f0057c75a71fc9d18c3b46a01b7a5b8	Literal vector; no generating algorithm
2026-08-28 15:39:30.577	HCC_ICI_project/05_results/tables/phase2/PTPN22_SPATIAL_PATIENT_METRICS.tsv	Phase 2C output	PTPN22_associated_activation_feedback	35 referenced	35/35 by source	NA	First score output carrying name	DIRECT_EXECUTABLE_EVIDENCE	1d5088d976fc9b1533d72fdeb2d49949581c4d38098a2c4cea74e0f641c856c9	Does not independently encode gene list
2026-08-28 15:39:30.579	HCC_ICI_project/05_results/tables/phase2/PTPN22_SPATIAL_EFFECTS.tsv	Phase 2C effect output	PTPN22_associated_activation_feedback	35 referenced	35/35 by source	NA	First effect output carrying name	DIRECT_EXECUTABLE_EVIDENCE	eab108f1234b339af33a92c52402cfba087e93b97ce40599a205a50ef785cb7a	Does not independently encode gene list
2026-08-28 15:39:30.593	HCC_ICI_project/09_logs/phase2/09_spatial_niche_GSE238264.log	Phase 2C execution log	PTPN22_associated_activation_feedback	35 referenced	35/35 by source	NA	Run-history corroboration	HISTORICAL_SUPPORTING_EVIDENCE	8fbf54dc08d660da38b5bff8d1427315e09d14574aa91f1fae39793a6388304a	Supports local timeline, not construction rule
