file	origin	author_generated	third_party	license	safe_to_redistribute	action
.gitignore	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
CHANGELOG.md	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
CITATION.cff	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
LICENSE	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
LOCAL_PATH_SANITIZATION_AUDIT.tsv	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
PUBLIC_RELEASE_SECURITY_AUDIT.tsv	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
PUBLIC_REPOSITORY_RELEASE_GATE.md	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
README.md	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
REPRODUCIBILITY_README_AUDIT.tsv	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
THIRD_PARTY_CONTENT_AUDIT.tsv	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
ZENODO_METADATA_DRAFT.md	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
config/AF35_genes.txt	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
config/analysis_parameters/AF35_PLATFORM_SPECIFICATION.tsv	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
config/analysis_parameters/README.md	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
config/program_definitions/PHASE3_PTPN22_SPECIFICITY_COMPARATOR_PROGRAMS.tsv	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
config/program_definitions/PTPN22_MECHANISM_PROGRAMS_FROZEN.tsv	Author-specified metadata, fixed definitions, documented environment or release documentation	YES	NO_EMBEDDED_THIRD_PARTY_ASSET	MIT accompanying documentation; third-party facts/terms unchanged	YES	INCLUDED; original publication documentation
