script	status	scientific_role	dataset	figure_or_table_supported	environment	known_external_inputs	runnable_as_is	notes
scripts/frozen_originals/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	FROZEN_ANALYSIS_SCRIPT	Fixed-program measurement and molecular structure	ERP35	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	HISTORICAL_SCRIPT	Fixed-program measurement and molecular structure	ERP35	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	FROZEN_ANALYSIS_SCRIPT	Fixed-program measurement and molecular structure	ERP117672; GSE302495	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	HISTORICAL_SCRIPT	Fixed-program measurement and molecular structure	ERP117672; GSE302495	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
