analysis_id	script	current_dynamic_behavior	frozen_input_identity	frozen_input_sha256	public_input_source	resolution	status
A001	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	L5: assert not (OUT/(P+'_FREEZE_LOCK.json')).exists() | L7: if not (OUT/'QA/PROTECTED_BEFORE.tsv').exists(): | L110: paths=[p for p in OUT.rglob('*') if p.is_file() and '__pycache__' not in p.parts and p.name!='PROTECTED_BEFORE.tsv']	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A001	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	L4: assert not lock['outcome_labels_loaded'] and not (OUT/'QA/OUTCOME_JOIN_TIMESTAMP.txt').exists()	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A002	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A003	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A003	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection	UNRESOLVED_NOT_ACTIVE
A004	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	L32: assert not (OUT/'QA/INITIALIZATION_LOCK.json').exists(),'Already initialized'	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A004	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A005	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	L9: assert not (OUT/(P+'_OUTCOME_JOIN_TIMESTAMP.txt')).exists() | L50: f.js('QA/CLINICAL_COMPLETION_LOCK.json',dict(utc=f.now(),scientific_pattern=pattern,freeze_utc=lock['utc'],outcome_join_utc=(OUT/(P+'_OUTCOME_JOIN_TIMESTAMP.txt')).read_text().stri	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A005	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; OUT.glob completion manifests are output inventories; not counted as proven dynamic input selectors; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A006	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	L2: lock=jl(OUT/(P+'_FREEZE_LOCK.json'));assert not lock['outcome_loaded'] and not (OUT/(P+'_OUTCOME_JOIN_TIMESTAMP.txt')).exists()	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A006	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A007	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	L48: js('QA/CLINICAL_COMPLETION_LOCK.json',dict(utc=now(),passing_compartments=feas[feas.status=='PASS'].compartment.tolist(),scientific_patterns=decisions,hashes={p.name:sha(p) for p i	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A007	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; OUT.glob completion manifests are output inventories; not counted as proven dynamic input selectors	UNRESOLVED_NOT_ACTIVE
A008	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A008	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection	UNRESOLVED_NOT_ACTIVE
A009	scripts/current/06_clinical/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	L4: lock=jl(OUT/(P+'_FREEZE_LOCK.json'));assert not lock['outcome_loaded'] and not (OUT/(P+'_OUTCOME_JOIN_TIMESTAMP.txt')).exists() | L63: js('QA/CLINICAL_COMPLETION_LOCK.json',dict(utc=now(),patient_n=n,R_n=nr,NR_n=nn,scientific_decision=dec,hashes={p.name:sha(p) for p in OUT.glob(P+'_*.tsv')}))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A009	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; OUT.glob completion manifests are output inventories; not counted as proven dynamic input selectors; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A010	scripts/current/04_clonotype/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A010	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection	UNRESOLVED_NOT_ACTIVE
