script	branch_or_block	purpose	used_in_final_analysis	scientifically_relevant	action	status
scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/04_clonotype/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
