gap_id	file	status	description	required_action
G001	scripts/03_AF35_measurement/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	UNRESOLVED	Historical initializer depends on private protocol artifact excluded from the public repository	Design and review a public non-scientific protocol-input replacement without changing calculations or bypassing freeze guards
G002	scripts/06_clinical/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	UNRESOLVED	Historical initializer depends on private protocol artifact excluded from the public repository	Design and review a public non-scientific protocol-input replacement without changing calculations or bypassing freeze guards
G003	scripts/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	UNRESOLVED	Historical initializer depends on private protocol artifact excluded from the public repository	Design and review a public non-scientific protocol-input replacement without changing calculations or bypassing freeze guards
G004	scripts/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	UNRESOLVED	Historical initializer depends on private protocol artifact excluded from the public repository	Design and review a public non-scientific protocol-input replacement without changing calculations or bypassing freeze guards
G005	scripts/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/00_initialize.py	UNRESOLVED	Historical initializer depends on private protocol artifact excluded from the public repository	Design and review a public non-scientific protocol-input replacement without changing calculations or bypassing freeze guards
G006	scripts/02_state_architecture/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/01_source_audit.py	UNRESOLVED	Historical initializer depends on private protocol artifact excluded from the public repository	Design and review a public non-scientific protocol-input replacement without changing calculations or bypassing freeze guards
G007	scripts/02_state_architecture/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/00_reuse_sources.py	UNRESOLVED	Historical initializer depends on private protocol artifact excluded from the public repository	Design and review a public non-scientific protocol-input replacement without changing calculations or bypassing freeze guards
G008	scripts/05_spatial/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/00_feasibility_freeze.py	UNRESOLVED	Historical initializer depends on private protocol artifact excluded from the public repository	Design and review a public non-scientific protocol-input replacement without changing calculations or bypassing freeze guards
G100	provenance/CURRENT_ANALYSIS_ENTRYPOINTS.tsv	UNRESOLVED	Dynamic input and producer-to-output lineage closure is not established for every active analysis	Complete module-specific public input contracts and trace each current output to its numerical producer
G101	docs/REPRODUCIBILITY_NOTES.md	UNRESOLVED	Historical freeze/self-hash dependencies refer to unshipped records or original code and paths	Create an explicitly reviewed public provenance adapter; do not disable scientific locks or invent original records
G102	scripts/06_clinical/HCC_ICI_project/04_scripts/phase15b_public_replication	UNRESOLVED	Current GSE302495 and historical GSE287319 branches share source entrypoints	Isolate the current entrypoint without changing the retained scientific calculations; historical branches must remain labelled
G103	environment/Python_environment.txt	DOCUMENTED_LIMITATION	Historical topology SciPy version was not recoverable	Do not invent a historical version; any future environment validation must be separately labelled
