analysis_id	script	private_dependency	dependency_type	required_for_execution	public_replacement_available	resolution	status
A001	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	Private authorization copy (content never distributed)	NONCOMPUTATIONAL_PROVENANCE	NO_AFTER_PACKAGING_CHANGE	docs/RC2_PACKAGING_BOUNDARY.md	Copy operation and authorization-only hash-list entry removed; computational protocol locks retained	REMOVED_DEPENDENCY
A002	scripts/current/06_clinical/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A003	scripts/current/03_AF35_measurement/sources/AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A004	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	Private authorization copy (content never distributed)	NONCOMPUTATIONAL_PROVENANCE	NO_AFTER_PACKAGING_CHANGE	docs/RC2_PACKAGING_BOUNDARY.md	Copy operation and authorization-only hash-list entry removed; computational protocol locks retained	REMOVED_DEPENDENCY
A005	scripts/current/06_clinical/sources/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A006	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A007	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A008	scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A009	scripts/current/06_clinical/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A010	scripts/current/04_clonotype/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
