source_script	original_status	public_status	reason
HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/audit/finish_tables.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
HCC_PTPN22_AF35_FINAL_PROSE_SUPPLEMENT_POLISH_20260918_V1/build_final_prose_supplement.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
HCC_ICI_HIGH_IMPACT_BIOLOGICAL_RESOLUTION_AUDIT_v1/scripts/build_biological_resolution_audit.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
绘图视觉/HCC_ICI_PANEL_LEVEL_REFERENCE_DRIVEN_RECONSTRUCTION_V3_0/qa/v3_f1_f2.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/00_initialize.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/01_source_audit.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
绘图视觉/HCC_ICI_V3_0R_REFERENCE_FIDELITY_RECONSTRUCTION/qa/translate.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
PTPN22_HUMAN_GENETIC_ACTIVATION_Phase0_v1/scripts/02_build_phase0_audits.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/final_harmonization/01_meta_clone_compartment.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
绘图视觉/HCC_ICI_PANEL_LEVEL_REFERENCE_DRIVEN_RECONSTRUCTION_V3_0/qa/v3_f4_f6.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/05_build_atlas.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/03_independent_numeric_qa.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/02_execute_fixed_analysis.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/05_run_analysis.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/04_projection.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/02_analyze.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/00_reuse_sources.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/source_audit.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
新绘图流程/POST_EXTERNAL_REVIEW_BOUNDED_REVISION_V1/build_candidates.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/01_freeze.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/01_authority.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
GSE235863_CLONE_STATE_DECOMPOSITION_v1/authority/04_scripts/phase19/02_phase19a_patient_analysis.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/02_analyze.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase3/03_independent_scrna_sctcr_clone_state.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase_temporal/01_gse235863_baseline_future_clone_fate.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
绘图视觉/HCC_ICI_NEW_HIGH_VALUE_RESULT_PANELS_v1/qa/build_panels.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/07_phaseB_verify.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
